Subject,Start Date,Start Time,End Time,Description
Clase en vivo,23/05/2022,19:00 PM,21:30 PM,Tema: Bienvenida e Introducción
Clase en vivo,25/05/2022,19:00 PM,21:30 PM,Tema: Uso de herramientas
Clase en vivo,30/05/2022,19:00 PM,21:30 PM,Tema: Introducción a NodeJS
Clase en vivo,01/06/2022,19:00 PM,21:30 PM,"Tema: Repaso de funciones, condicionales y Arrays"
Clase en vivo,06/06/2022,19:00 PM,21:30 PM,"Tema: JSON, mas condicionales y ciclos"
Clase en vivo,08/06/2022,19:00 PM,21:30 PM,"Tema: Callback, mas ciclos y nuevos métodos"
Clase en vivo,13/06/2022,19:00 PM,21:30 PM,Tema: GIT
Clase en vivo,15/06/2022,19:00 PM,21:30 PM,Tema: SCRUM
Clase en vivo,20/06/2022,19:00 PM,21:30 PM,Tema: Intro a proyecto integrador
Clase en vivo,22/06/2022,19:00 PM,21:30 PM,Tema: Introducción a Servidores
Clase en vivo,27/06/2022,19:00 PM,21:30 PM,Tema: Creando estructura de un sitio web
Clase en vivo,29/06/2022,19:00 PM,21:30 PM,Tema: Agregando estilos
Clase en vivo,04/07/2022,19:00 PM,21:30 PM,Tema: Diseño adaptativo
Clase en vivo,06/07/2022,19:00 PM,21:30 PM,Tema: Posicionamiento avanzado con Flexbox
Clase en vivo,11/07/2022,19:00 PM,21:30 PM,Tema: Trabajando con formularios
Clase en vivo,13/07/2022,19:00 PM,21:30 PM,Tema: Organizando y animando elementos
Clase en vivo,18/07/2022,19:00 PM,21:30 PM,Tema: HTML + CSS: Repaso / Proyecto Integrador / Hackaton
Clase en vivo,20/07/2022,19:00 PM,21:30 PM,Tema: HTML + CSS: Repaso / Proyecto Integrador / Hackaton II
Clase en vivo,25/07/2022,19:00 PM,21:30 PM,Tema: Patrones de diseño MVC
Clase en vivo,27/07/2022,19:00 PM,21:30 PM,Tema: Vistas dinámicas con EJS
Clase en vivo,01/08/2022,19:00 PM,21:30 PM,Tema: Express: Repaso / Proyecto Integrador / Hackaton
Clase en vivo,03/08/2022,19:00 PM,21:30 PM,Tema: CRUD - Episodio I
Clase en vivo,08/08/2022,19:00 PM,21:30 PM,Tema: CRUD - Episodio II
Clase en vivo,10/08/2022,19:00 PM,21:30 PM,Tema: Express: Repaso / Proyecto Integrador / Hackaton II
Clase en vivo,15/08/2022,19:00 PM,21:30 PM,Tema: Middlewares
Clase en vivo,17/08/2022,19:00 PM,21:30 PM,Tema: Armado de Login : Session y Cookies
Clase en vivo,22/08/2022,19:00 PM,21:30 PM,Tema: Express: Repaso / Proyecto Integrador / Hackaton III
Clase en vivo,24/08/2022,19:00 PM,21:30 PM,Tema: Diseño y definición de tablas
Clase en vivo,29/08/2022,19:00 PM,21:30 PM,Tema: Manipulación y consulta de datos
Clase en vivo,31/08/2022,19:00 PM,21:30 PM,Tema: Uniones y funciones de agregación
Clase en vivo,05/09/2022,19:00 PM,21:30 PM,"Tema: Introducción, modelos y consultas básicas"
Clase en vivo,07/09/2022,19:00 PM,21:30 PM,Tema: Manipulación de datos
Clase en vivo,12/09/2022,19:00 PM,21:30 PM,Tema: Relaciones y CRUD completo
Clase en vivo,14/09/2022,19:00 PM,21:30 PM,Tema: Bases de datos: Repaso / Proyecto Integrador / Hackaton
Clase en vivo,19/09/2022,19:00 PM,21:30 PM,Tema: Creando nuestras propias APIs
Clase en vivo,21/09/2022,19:00 PM,21:30 PM,Tema: Consumo de APIs propias y de terceros
Clase en vivo,26/09/2022,19:00 PM,21:30 PM,Tema: Manipulando elementos con JavaScript
Clase en vivo,28/09/2022,19:00 PM,21:30 PM,Tema: Agregando interacción con Eventos
Clase en vivo,03/10/2022,19:00 PM,21:30 PM,Tema: Interactuando con Formularios
Clase en vivo,05/10/2022,19:00 PM,21:30 PM,Tema: Pedidos asincrónicos con JavaScript
Clase en vivo,10/10/2022,19:00 PM,21:30 PM,Tema: JS Front: Repaso / Proyecto Integrador / Hackaton
Clase en vivo,17/10/2022,19:00 PM,21:30 PM,Tema: JS Front: Repaso / Proyecto Integrador / Hackaton II
Clase en vivo,19/10/2022,19:00 PM,21:30 PM,Tema: Creando una aplicación con React
Clase en vivo,24/10/2022,19:00 PM,21:30 PM,Tema: Trabajando con componentes
Clase en vivo,26/10/2022,19:00 PM,21:30 PM,Tema: El ciclo de vida de los componentes
Clase en vivo,31/10/2022,19:00 PM,21:30 PM,Tema: Enlazando los componente de la aplicación
Clase en vivo,02/11/2022,19:00 PM,21:30 PM,Tema: hooks
Clase en vivo,07/11/2022,19:00 PM,21:30 PM,Tema: Aplicación práctica
Clase en vivo,09/11/2022,19:00 PM,21:30 PM,Tema: Aplicación práctica II
Clase en vivo,14/11/2022,19:00 PM,21:30 PM,Tema: Aplicación práctica III
Clase en vivo,16/11/2022,19:00 PM,21:30 PM,Tema: Cierre I
Clase en vivo,21/11/2022,19:00 PM,21:30 PM,Tema: Cierre II